short_descriptions,priority
it change display name,CRITICAL
delete account evangelia voutsina cchellenic com from airwatch,CRITICAL
after update from to embedded shell no longer works in mc maybe due to devpts perms,LOW
ae failure community team site creation and or change of setting s failed for mea project performance monitor,LOW
schedule additional copy job from dp consensus plan to location split tool for bg,CRITICAL
p nun nokia exploit multiple exploit types against single destination,MEDIUM
p nun nokia proactive recurrent reinfection,MEDIUM
need password reset,MEDIUM
action buttons not visible on taks,MEDIUM
multiple laptop issues,MEDIUM
lost connection to p drive and other network drive,MEDIUM
cisco anyconnect cannot connect to gateway,MEDIUM
ms teams doesn t receive incoming audio calls nor connects to meetings while on vpn,LOW
support portal mihail a gladiy sibir rt ru error,LOW
ras client does not work russia saint petersburg office is affected,LOW
unable to log in to salesforce crm,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
shipments tendered but not accepted,LOW
ariba i buy tool access role – local operations,LOW
hardware computer keeps on restarting randomly everytime,MEDIUM
can t search in outlook,MEDIUM
teams broadacting how to in ipad,MEDIUM
vpn remote access,LOW
p nun nokia authentication repeat non windows and non wireless login failures,MEDIUM
sap setup on new phone,MEDIUM
windows application hosting wah on ipad,LOW
not able to configure outlook on common desktop,MEDIUM
i want to access it,LOW
need skype for business account,MEDIUM
p nun nokia botnet successful inbound connection from a known botnet candc,MEDIUM
dp issue backup failure for,HIGH
unable to run access redbox on edge,MEDIUM
user is getting reoccurring issue previously troubleshoot in,MEDIUM
unable to connect elearning url,MEDIUM
nokiameetings unable to pull up recordings,LOW
add user to ad group,MEDIUM
it corner concierge,LOW
ng full mailbox,MEDIUM
ms visio does not appear in software center,MEDIUM
hardware screen broken just a line or dot on screen,MEDIUM
lawson assignment not seen,LOW
hosted virtual desktop applications issues,LOW
gr assign remove office license,MEDIUM
error showing while login in integra,LOW
application still showing old external email,LOW
login to linkedin learning,MEDIUM
entitlemenet type missing,LOW
it corner concierge,LOW
amer pfizer com cpqclusternode intel,HIGH
p nun nokia http upload suspicious data size,MEDIUM
internal catalogs are unavailbale,LOW
it corner concierge,LOW
it corner concierge,LOW
patching issue partially result for,LOW
ctry ru drtn спорный случай для,MEDIUM
access to folder v,MEDIUM
cpos not going in to camunda,HIGH
cy ytd functional p amp l for sc profit centres is not matching with cy ytd commercial p amp l with sc profit centres,LOW
it corner concierge,LOW
it assign ad groups,CRITICAL
is not reachable from some of the lsf hosts in franklinpark,LOW
amer pfizer com cpqclusternode intel,LOW
unable to access srm,LOW
jabber other the camera stops working after some time when using on conf call jabber webex teams,LOW
vpn remote access,LOW
mailbox google calendar setup issue,LOW
fw group inc opdc to,MEDIUM
jabber phone services phone service not working on jabber,MEDIUM
hvd went missing unable to find hvd on citrix,HIGH
gps desktop test not opening,MEDIUM
support portal request a specific nols account to be used for more people,LOW
it corner concierge,LOW
re eos health llc opdc tsk msa formerly inc research,MEDIUM
citrix issue need to refresh,LOW
backfill newsedge infoview related,LOW
cdb hung when trying to deactivate csda management,LOW
adobe approval fw request for adobe pro access,MEDIUM
linux commnad not found,LOW
installation of microsift edge stuck at downloading since several days,LOW
access edyta przeradzka,CRITICAL
pl assign access,MEDIUM
please give access,LOW
jabber – login unable sign in the desktop jabber,LOW
cisco anyconnect failed to load preferences,LOW
latest image is not listed in dhn cloud,MEDIUM
p nun nokia recon aggressive local scanner detected,MEDIUM
could you please renew the certificate for the user,MEDIUM
software fmo user was prompted to log in as admin when installing home office printer driver,LOW
remove scope from dhcp,MEDIUM
service now needed further assistance in filing the request,LOW
ee jira request follow up,LOW
unable to use visual basic program after windows upgrade,LOW
issue access to hvd,LOW
outlook not responding,LOW
rs pasword reset for message tracking tool edi seeburger portal,MEDIUM
re delegation of approvals,MEDIUM
active directory and citrix,MEDIUM
move to approved queue,LOW
outlook application is not opening,MEDIUM
could not log in to salesforce,LOW
unable to login in into veeva,MEDIUM
it corner concierge,LOW
tmo qc stp so stuck in eept,LOW
user access in both clusters p,MEDIUM
applications authentication using mfa ciscoanyconnect vpn,LOW
udm tool is unable to perfrom transfer settings files from old computer to new one,LOW
ip phones chad country not reachable gdc location,HIGH
user is not able to login to citrix,MEDIUM
it corner concierge,LOW
bg nosi no connection bugraia blvd bulgaria sofia,LOW
it corner concierge,LOW
vscode remote extension over ssh stopped working on,MEDIUM
database content not shown in azure platform,LOW
can t login in support portal,MEDIUM
it corner concierge,LOW
user is unable to access some repositories on wroclaw mirror works on espoo mirror,MEDIUM
sharepoint approval process,LOW
ability to conduct zoom meetings,MEDIUM
a process called local service no network firewall is draining my cpu,LOW
cz add access to transactions ppose,MEDIUM
re brexpiprazole susar line listing report blinded sar report workflow has been initiated in credo for approval cycle,MEDIUM
email threats password expiration notice,CRITICAL
nesc unplanned shutdown of instances,MEDIUM
support engineer got removed from snow queue,MEDIUM
reset domain password for grace kozrad otsuka us com,MEDIUM
unable to access tool reference,LOW
ticket to be assigned to oss muhammad kashif work done for backup the data windows upgrade to and restore the data,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
unable to access,MEDIUM
my computer workstation,LOW
rp nsa unix request,LOW
decommission cip action issue for finland tt,MEDIUM
urgent request for removal of pohandling gbs group name,LOW
p nun nokia soar single infection single host virus clean failed symantec,LOW
docubridge working slow not responding,MEDIUM
cisco anyconnect error message the vpn connection failed due to unsuccessful domain name resolution,LOW
sk cms change customers financial numbers,MEDIUM
nsn intra account frequent lock out request to find the device that causes the lock out,LOW
mec april ticket bpp usebox interface ar idoc error,MEDIUM
software fmo automatically reboots,LOW
be onedrive request to recover deleted file,MEDIUM
password reset assistance,MEDIUM
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
user mariusz pietkiewicz iris telecommunication pl – repeating password issue,LOW
ad account check inquiry,MEDIUM
cdo scorecard access,MEDIUM
ava services not able to reach application mail server mailrelay int nokia com,LOW
software fmo pxe error,LOW
hvd microsoft office application issue,LOW
cannot log in to esling server e g with remote desktop connection,MEDIUM
it corner concierge,LOW
domino account request,LOW
sap bwp client bw,LOW
unable to signin into skype,MEDIUM
hvd icon is missing on user s account request no,MEDIUM
the transaction log for database is full due to log backup unable to log in to symantec co,LOW
office outlook crashes,LOW
local admin rights request for gin computer,LOW
ee file share inquiry on data destination,LOW
unable to view invoice image in sap,LOW
confirmation mail from robot was not received for and,MEDIUM
p nun nokia proactive recurrent reinfection,MEDIUM
device som a mpu connected interface is flapping,HIGH
dp issue failures for emea bs gp ct,HIGH
laptop not connecting to wifi,MEDIUM
please list out where you have allocated gb on server,MEDIUM
business assignment text mismatches,LOW
vpn remote access,MEDIUM
need act as siteminder privileges,LOW
re problem to return parts to stock from transfer order when del was deleted first,LOW
postal cod change for plant,MEDIUM
software center is missing,MEDIUM
cant connect to the vpn,LOW
incorrect data transfer between and myo,MEDIUM
profile installation failure,MEDIUM
jabber phone services phone services not connected,LOW
change of public holiday date,LOW
bpc cashflow calculation for not,MEDIUM
p nun nokia ssl exploit detect from host,MEDIUM
test server data are out of sync with prod,LOW
it corner concierge,LOW
unable to connect to vpn,LOW
eleave mexico access line managers,LOW
removal of roles,CRITICAL
user ruthm micallef vodafone com nols account blocked,LOW
workstation laptop performance,LOW
data server unable to access aspen mh lucent com,LOW
ru veon ftk ran,MEDIUM
reload data from sdo into bw,MEDIUM
srinivas kondapaneni otsuka us com oracle pto report,MEDIUM
user is having issues with his password,MEDIUM
incorrect job title on outlook,LOW
software center user cannot install nokia ras client en,MEDIUM
kindly check and reboot server at today aug,LOW
amber light indicator on disk drive,LOW
hu needed for,MEDIUM
it corner concierge,LOW
de computer unable to power on,MEDIUM
bwp discrepancy based gl report with bpp for company code,LOW
allow use teams,MEDIUM
webex security threat fireflies ai bot joining webex sessions,MEDIUM
it corner concierge,LOW
software fmo slow pc performace,LOW
it corner concierge,LOW
load balance configuration to be rechecked,MEDIUM
for pn please reactivate manufacturer northstar from ref avl,LOW
please unlock my password,MEDIUM
missing from software center,LOW
p nun nokia security risk found on host,MEDIUM
facing error while connecting to server,HIGH
unable to move homedrive files to onedrive,LOW
gerrit hooks can not commit new patchset info to jira ticket,LOW
please remove employee from distribution list,MEDIUM
nokia standard requester role for cinzia deriu,LOW
question about option to keep laptop,MEDIUM
support portal unable to download netguard security management application,LOW
